 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
237	Cristian Borja	DF	co Colombia	32	1993	4	3	313	3.5	0	1	1	0	0	0	0	0	0.00	0.29	0.29	0.00	0.29	Matches
238	Wílmar Barrios	MF	co Colombia	32	1993	3	1	99	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
239	Yaser Asprilla	FW,MF	co Colombia	22	2003	2	0	47	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
240	Santiago Arias	DF	co Colombia	34	1992	4	4	359	4.0	0	2	2	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
241	Jhon Arias	MF	co Colombia	28	1997	17	15	1,139	12.7	0	2	2	0	0	0	3	0	0.00	0.16	0.16	0.00	0.16	Matches
242	Álvaro Angulo	DF	co Colombia	28	1997	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
243	John Yeboah	FW,MF	ec Ecuador	25	2000	9	3	364	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
244	Pedro Vite	MF	ec Ecuador	23	2002	9	8	695	7.7	0	2	2	0	0	0	1	0	0.00	0.26	0.26	0.00	0.26	Matches
245	Gonzalo Valle	GK	ec Ecuador	29	1996	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
246	Enner Valencia	FW	ec Ecuador	36	1989	15	14	1,057	11.7	6	2	8	4	2	4	0	0	0.51	0.17	0.68	0.34	0.51	Matches
247	Félix Torres Caicedo	DF	ec Ecuador	29	1997	15	11	1,052	11.7	2	0	2	2	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
248	Junior Sornoza	MF	ec Ecuador	32	1994	2	2	141	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
249	Jeremy Sarmiento	MF	ec Ecuador	23	2002	3	1	113	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
250	Kevin Rodríguez	FW	ec Ecuador	25	2000	16	5	550	6.1	1	0	1	1	0	0	0	0	0.16	0.00	0.16	0.16	0.16	Matches
251	Leonardo Realpe	DF	ec Ecuador	24	2001	1	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
252	Moisés Ramírez	GK	ec Ecuador	25	2000	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
253	Cristian Ramírez	DF	ec Ecuador	31	1994	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
254	Ángelo Preciado	MF,DF	ec Ecuador	27	1998	13	9	812	9.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
255	Gonzalo Plata	MF,FW	ec Ecuador	25	2000	9	8	633	7.0	2	0	2	2	0	0	2	0	0.28	0.00	0.28	0.28	0.28	Matches
256	Kendry Páez	MF,FW	ec Ecuador	18	2007	12	8	647	7.2	1	1	2	1	0	0	1	0	0.14	0.14	0.28	0.14	0.28	Matches
257	Willian Pacho	DF	ec Ecuador	24	2001	18	18	1,620	18.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
258	Joel Ordóñez	DF	ec Ecuador	21	2004	8	8	691	7.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
259	Alan Minda	MF	ec Ecuador	22	2003	8	4	312	3.5	1	0	1	1	0	0	0	0	0.29	0.00	0.29	0.29	0.29	Matches
260	Patrik Mercado	MF	ec Ecuador	22	2003	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
261	John Mercado	FW	ec Ecuador	23	2002	4	1	111	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
262	Jhegson Méndez	MF	ec Ecuador	28	1997	2	1	46	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
263	Ángel Mena	MF	ec Ecuador	38	1988	6	1	166	1.8	1	0	1	1	0	0	0	0	0.54	0.00	0.54	0.54	0.54	Matches
264	Yaimar Medina	DF,MF	ec Ecuador	21	2004	2	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
